username,review,calificacion
Cesar de la Garza,"Excelente atención, muy buen café, comida deliciosa y te sirven rápido. Muy recomendable",4
Erika Villegas,Buen sabor de la comida y excelente servicio por parte de Ernesto que me atendió en mi visita.,4
Ali M,Servicio eficiente y amable. Las enchiladas y los chilaques muy ricos! Buen lugar para esperar entre vuelos.,4
sol cordova,"Atendió Ernesto. Excelente trato y servicio. Muy buen sabor. Opino que debe haber más opciones vegetarianas y veganas, pero en general, excelente.",4
Alex D,Me encantaron los tacos de arrachera! Me atendió ERNESTO. Muy amable,4
Raquel Villazon,Ernesto fue muy agradable y tuve buen servicio. La comida fue muy rica!,4
ROBERTO FLORES SOLIS,La camida muy deliciosa y el señor Miguel es muy bueno y atento agradecido por su servicio del restaurante y de las personas que nos atienden,4
yaneth rascon,La comida tiene buen sazón y excelente presentación,4
Marinela Valle,"Excelente lugar, me encantó la atención y la comida igual , me quedo con deseos de probar la comida que le vi a los demás, prometo que a mi regreso pasaré de nuevo!!",4
ignacio cruz perez,"Es un lugar excelente , la atención del personal muy buena , el servicio a la mesa es rápido y los alimentos muy buenos , bueno al menos el que probé el sándwich especial.",4
Martita Guzmán,Comida deliciosa y atención excelente por parte de Ernesto. Muy recomendado,4
GONZALO CARDENAS,"PESIMO SERVICIO Y ATENCIÓN MUY LENTO Y DE MALA MANERA, UN TOTAL DESINTERES POR MEJORAR LA CALIDAD Y ATENCIÓN. QUE MAL QUE UN LUGAR QUE SE DEDICA A ATENDER AL CLIENTE NO TENGA NI IDEA DE COMO HACERLO.",1
Karen Brito,Ernesto en Salute Food y Bar nos dio muy buen servicio y fue muy amable! La comida estuvo perfecta y me encanto la margarita clásica!,4
Monica Moina,Muy satisfecha por los alimentos adquirido y el personal de atención fantástico. Lo recomiendo al 100%,4
Ivan Velazquez,"Good servers ,buen servicio de Ernesto me boy Feliz volvere pronto y preguntarle por Ernesto",4
Alejandra Mejía,Atendida por Ernesto. Muy buena atención y servicio ,4
Brian marnatti,"Fue un excelente servicio, el mesero que nos atendió es muy amable gente con el deben contratar. Gracias Alejandro Gómez.",4
ginox sie,Muy buena atencion!,3
JFK C,"Es un lugar muy agradable, muh buen servicio. Y la persona de nombre Ernesto que fue quien me atendio fue muy amable. Les recomiendo el lugar.",4
Eduardo Aguilar,Muy buen servicio económico y más que nada mucha amabilidad,4
Alexa Díaz Elizondo,"Excelente servicio, la atención, el lugar y la comida están geniales, agradecer al mesero Ernesto que es muy servicial.",4
Fernanda Martinez,"Excelente servicio, rápido y comida riquísima. Me atendió Ernesto. :)",4
Jenny Astrid Castañeda Gonzáles,Excelente servicio y la comida deliciosa super recomendado.. ,4
Miranda Zamora,"Muy rico y a tiempo, justo lo que esperábamos recibir después del vuelo. Muchas gracias.",4
Irene S,"Ernesto me antendió muy bien en el Salute de salidas internacionales en la terminal 2 del aeropuerto CDMX. Pedí una de sus sugerencias, unas deliciosas enfrijoladas con un bisquet que venía incluido en el paquete de desayuno, tostadito y con mantequilla, muy rico. Definitivamente recomiendo este restaurante!",4
Enrique Silva,Todo muy bien Buena comida t atienden muy bien,4
Heberto Garcia,"Salute internacional . Muy buena su comida, la atencion del personal es excelente.",4
Manuel Bj,"Buena atención y buena comida, se come muy agradable aquí.",3
Vicente Perez,Buen servicio y eficiente fuy atendido por Ernesto y recibi buen trato y atencion,4
Gerardine Armendariz,Great food and service! Servicio y comida rica!,4
Victor Champac,"Excelente atención, ambiente calmado con buena música. Comida agradable.",4
Daniela Lazcano Castro,"Muy buena atención y comida exquisita, además de un grato ambiente y cordialidad",4
hilda lopez,La comida estuvó riquisima y el persona muy amable.,4
Guillermo Lopez,"Excelente sabor y servicio. Muy buen lugar, cómodo y ameno.",4
JESUS ADRIAN,Bueno Bonito y Barato,4
Alfredo García,"Muy buena comida, la espera muy corta por la atención de Ernesto y el ambiente. Regresaría siempre que venga aquí.",4
Luis Francisco Colón Conde,Muy buenos tacos de chamorro. Muy agradable ambiente y buen servicio.,4
