username,review,calificacion
DANIEL SENDEROVICH,Genial!!! Excelente servicio comida de calidad bastante en porciones y barato!!! Muy rico y vegano !!!,4
Yanelli Suarez,No me gusto me salieron dos pelos de barba en la sopa ..los chavos q atienden con barba super larga ...deberían de cubrirse ... el sabor no muy bueno,0
Tezcatlipoca Axayacatl Hérnandez García,Muy buena comida al mejor precio mucha innovación,4
Roberto Iván Juárez Paredes,"De los lugares con una variedad de alimentos muy interesante, todo el menú es vegano, y lo mejor es que no sacrificas sabor, muy recomendado",4
Juan Avila,"Precios muy accesibles, variedad de menú y atención excelente. Único restaurant vegano en la zona. Ambiente familiar. Ponen música agradable. Les recomiendo una agua de cocoa, pueden acompañar con un taquito de carnitas de soya o de avena.…",4
Paola Escalona,Muy rico y aún precio super accesible :3,4
Sergio Raul Nuñez Pedraza,Todo muy rico!,4
LYN Flores,Deliciosa comida vegana,4
Aimi LP,"Excelente comida, todo es delicioso. Muy buen servicio",4
Rey Fernando V,"En una zona domeñada por la escasez de opciones creativas para comer, V de vegano ha resistido la indiferencia y la reticencia del parroquiano amoldado a la comida rápida de feas facciones cuyo apuesta es saciar con la mayor rapidez y al…",2
Raquel Narvaez P.,"Excelente comida vegana, diario un menú diferente, y precios económicos. Excelente atención, muy amables.",4
Benjamín Ramírez García,"Comida muy rica, precio bastante accesible, excelente servicio.",4
Andrés Santillán Saavedra,Muy grata experiencia de sus alimentos.,4
Thalía Benítez González,"Menú variado, excelente atención, porciones suficientes, precio muy accesible.",4
Samadhi Alonso Ángeles,"Excelente servicio, calidad, sazón!!! Perfecta opción para vegetarianos y veganos ",4
Diana Mlo,"Muy variado y a precios muy económicos. Además, la atención es excelente.",4
maría isabel flores osorio,Super mega riquísimo y barato! Lo tiene todo ;),4
Asderel Vegan,"Comida excelente, precios muy accesibles, menú amplico y excelente trato",4
Alan Diaz,"Han mejora mucho , y lo hacen a diario. Excelente lugar para comer, rico, económico.",4
Maleny González,Es riquísimo y económico ,4
Adrian ConMer,Muy buen sazón y precios económicos,4
Isra Loaeza,"Excelente menú, comida deliciosa, muy recomendable y sobre todo baratisimo",4
Ilsesofia7w7 Carrillo,Un excelente concepto. ....Les deseo mucho éxito. ..,4
Amairani Olvera,"Comida para veganos muy rica, pero el lugar muy pequeño.",3
mxtigre,"Lugar sencillo, no de lujo, de colonia popular. Alimentos tacos, hamburguesas, tortas veganas.",4
Laura Reyes,"Buen servicio en buen tiempo, amables y muuuy rico!!!",3
Fercho Liive,Buen lugar,4
Arturo Martínez,"Excelente atención, buena comida. 100% recomendado.",4
Rosalía Patricia Quintero,"Excelente servicio, muy económico, la comida es deliciosa y las porciones son muy generosas!!",4
Chris Mendez,"Excelente comida, servicio y atención y precios muy accesibles",4
Artorius Mx,Es una buena opción si quieres comer comida vegetariana y estás al norte de la ciudad.,2
Nashilandia Witzzyy,Excelente lugar,4
Luis Bonilla,"Excelente servicio,atención y calidad de platillos",4
Row Quilon,Buen servicio,3
Marco Ortega,Mucho codimento,1
Alexis Uchiha,10/10,4
c. ur,"Superior buen sazón, buen trato y muy accesible",4
Amanda Hendrick,Mal que no actualizan los horarios. Luego les doy una oportunidad.,1
JORGE GARCIA GONZALEZ,"Buen sitio, mal ambiente no puedes platicar por el ruido de la cocina",2
Luis Sánchez,La comida es deliciosa,4
Casteph Sanbra,"Excelente atención, la cocina es rápida",4
Hector Ruiz Rojas,Deliciosa toda la comida,4
Araceli Durán Reynoso,Buen sabor en los platillos,3
Jesus Fernandez,"Me encantó, regresaré pronto",4
Ana Isabel Rivera,"Excelente servicio, platillos abundantes y económicos.",3
Mario Arturo Torrejón Ruíz,Excelente lugar para comer.,4
Ali Misrhaji,Bien,4
German Rosales,Excelente,4
Grecia Santiago,Rica opción en Aragón,4
Sergio Estrada,Para estar más sanos,4
Gabriela Marquez,Variedas y calidad en los alimentos!,4
Francisco Prado,"Riquísima la comida, recomendado",4
marco antonio mendoza cervantes,Para cuando te cae la culpa.,4
Carlos Lopez,Bueno,4
Gary Elvis,Muy ricos los tamales y baratos.,4
Erandi Arenas,Rico!!!!,4
Carlos González,Los taquitos de pastor y la pizza de chilaquiles son los más ricos que he probado. Son muy amables y todo tiene precios accesibles,4
lora linares,"A good option for vegan food. Nothing else in that area that I know of. Not expensive to eat there, cash only. Seitan tacos would be excellent to add to the menu and perhaps nut or garbanzo cheeses.…",3
Miguel López,Very cool (Traducción de Google) Muy genial,4
Izel Ayala,,4
Saranagati Dasi,,4
Cadir Tejada,,4
Dante Salazar,,4
Carlos Del Prado,,4
Daniel Ureña,,3
Ximena Luna,,4
felipé vera,,3
carla cardenas navejas,,4
Oscar Alberto Betancourt,,4
Alexis Guerrero Sanchez,,3
Dulce Yesenia Hernández Salazar,,4
Guadalupe M,,4
Patricia Galindo,,3
Roberto Resendiz,,4
Vianey Gómez Guzmán,,4
Jaime Rodolfo Altamirano Valenzuela,,4
jessica,,4
Galván Vázquez Adrián,,4
Brandon Gandolex,,4
Alejandro Romero,,4
Yos Arroyo,,4
Eduardo Santana,,4
Roberto Alejandro,,3
Raziel Alvarex,,4
Juan Manuel Alvarez,,4
Margarita Vázquez Arámbula,,4
alan fernando rosas flores,,4
Alejandro Zuñiga,,4
Julia Castillo,,4
Bombero Chino,,4
Luis Zuno,,2
Hector HP,,4
Vianney Villaurrutia,,4
Armando Chiron,,3
RICARDO ARRIAGA,,3
Berenice Aguilar,,4
Pilar Torres,,3
TULIO Diecinueve,,3
