username,review,calificacion
CARLOS PADILLA,Buen lugar agradable y buen precio aunque me falta un poco más en el plato... claro cuando es a la carta pero buen lugar y buen sazón,3
Carlos Padilla,Delicioso buffet. Variedad de platillos y sabores. Llegar temprano es la mejor opción para disfrutar de su diversidad culinaria.,4
jorge rivera,"Muy buen servicio, la comida muy rica y el buffet siempre surtido a 175 pesos el de adulto se me hace accesible. Recomendable",4
Hugo González,Excelente lugar y el buffete muy rico. 100%recomendable!!!,4
Jorge JC,Es un lugar muy agradable y con unvariafo menu,4
Carlos Filio López,El buffet del desayuno es bueno aunque no muy diverso. El lugar es agradable y tiene estacionamiento. Trío que toca muy bien.,3
Fabiola “Fabelak” Loch,Rico y buen servicio. Hay promoción para cumpleañeros.,4
Oscar Ruiz,Muy buen servicio,3
Bernardo Muñoz,Muy buen festejo,4
Adriana Armenta,"Excelente lugar, muy amable el personal y riquísimo el buffet",4
Gaby Santibáñez,"El restaurante es muy bueno vale la pena, aunque no estés hospedado.",3
Gabbo Flores Gamez,"Muy buen lugar para comer. Las sugerencias del chef siempre son deliciosas. Los bufetes están muy ricos. El precio no es barato pero del mismo rango que restaurantes comerciales que dejan a desear en cuanto a servicio y sabor. Música tranquila y amena que va ""a doc"" con el lugar.",4
Jaeel Soto,"14 de Febrero 2019 mi primer visita muy agradable, buen trato, calidad de los alimentos, variedad en el Bufet. Excelente compañía mis Queridas Amigas Martha y Luisa.",4
Jose luis Sil granados,Comodo. Limpio. Muy ventilado. Buen servicio Restaurant Lepanto.,4
Jorge Castillo gonzalez,Un excelente buffet de desayuno y la atencion muy buena,4
Marce Corita,Falta variedad de guisados pero por lo demás muy buen servicio,2
Karime Cerón,Amo este lugar. Me encanta la comida y la atención,4
Carlos Padilla Torres,Buena atención en el restaurante. Todos los días hay variedad en el menú del desayuno (buffet). Me parece bien el precio x persona.,4
Judith Garcia,"Excelente lugar para desayunar, comer. Muy buen servicio",4
Maria Antonia Gonzalez,El ambiente familiar muy buena comida y el buen servicio,4
SAndra Roque,Exelente servicio un buffet.. de 10,4
arturo camacho pena,Les recomiendo el lugar está muy rico tiene muy buenas instalaciones muy buena atención y sobre todo se siente mucha tranquilidad en el lugar los precios están accesibles es mi mejor recomendación de la zona,4
Alberto Daniel Saucedo Campos,Restaurante con un menú adherido a un hotel los fines de semana usualmente se da un buffet. Recomendable cuando no se tiene ninguna otra opción más.,4
MARIANA ARMENTA,"Un trato cordial, amable, esmerado, el lugar y la presentación del personal son muy limpios, comes muy rico, las porciones son acordes al precio, un ambiente familiar agradable y seguro, muy bien ubicado. Por supuesto que lo recomiendo y doy 5 estrellas",4
Jose Vicente Palacios Zavala,Muy rico todo buen servicio,4
Ricardo Cholico,Muy rico para desayunar con la familia! Y el bueffet es exelente!!,4
jozmaryraiz,Un excelente lugar,4
Dueto Luda,Rico y a buen precio,4
Fanny Guzman,El buffet esta birn surtido y la atención por parte del personal excelente!,4
Carmen Uribe,"Muy atentos, comida de muy buen sabor, siento que hace falta variedad de platillos en el funeral.",3
Joss Chávez,Todo el mu do muy amable y hermoso restaurante ,4
Daniel Sanchez,Excelente desayunos el bufet es variado y rico. A la carta es muy bueno y sus precios acordé con la calidad,4
Rocio Vences,El cafe es lo que no me gusta dd lo demas es Excelente,4
Toño Rmz.,Muy rico y buenos precios,4
Raul Hernández peña,Muy buen restaurante buffet. Muy bonito y la comida rica,4
juan ramirez,Muy buena atención del jefe de meseros y de estos muy amables buena comida y variada un diez.,4
jaqueline maldonado guzman,Su área para convenciones es buena sus desayunos también,4
Joseantonio Diazcadena,Es rico el desayuno. Recomendable,4
Alvaro Sosa,"Muy buen bufete, buen servicio, buen precio, recomendado.",4
Eli Cruz,"Son amables, la comida buena y variada en el buffet.",4
AT Terra,"Ambiente muy agradable, buena atención, pero el sabor de los alimentos regular, les falta algo de sazón",2
Cynthia Leslie Barroso Lopez,Excelente opción de desayuno buffet a un super precio y la atención del personal estupenda,4
Samuel Salazar Arellano,Lugar agradable precio justo cómodo Y limpio,3
Ernesto Claudio,Un hotel que brinda unos servicios expendidos y su personal es muy amable,4
Alberto Granados,"Atención incomparable!! Ofrece 6 menús diferentes, eventos de hasta 130 personas, propinas incluidas.",4
Marcela Sol,Excelente Servicio! Desayuno Buffet delicioso! Meseros amables! Precios razonables!!,4
Patricia del rio,Buen lugar. Muy bien los alimentos. El rumbo un poco feo.,3
Carlos Valencia,Buena comida y la atencion del capitan ernesto y su gente extraodinaria. Felicidades,4
Miriam Guzman,Esta muy bueno y atienden bien,4
Valeria Quintero,"El Buffet delicioso! Me encanta pasar la mañana con mis amigos y platicar, el ambiente es muy tranquilo y el servicio excelente!",4
Fernando Sierra,"El buffet variado y suficiente, además a un precio aceptable",3
Estela Legaria,Muy buena atencion rica la comida y los precios accesibles yo le daria un DIEZ gracias,4
Martin Alvarez,Buen ambiente familiar y excelente bufett,4
Laura yañez,Buffet rico muy pocos meseros y tardan en traer las cosas,2
Vanessa Javier,Excelente restaurante muy rica comida,4
Jorge Tellez,"Muy rica, cocina española e internacional, muy buen servicio el costo acordé con la calidad y cantidad. Solo la zona no es lo mejor, pero tiene estacionamiento privado.",3
Pilar Hermar,"Muy buen lugar. La comida es deliciosa, el servicio y la atención es excelente ",4
Lizbeth Luqueño Cortes,"Excelente lugar, limpio, agradable, alimentos de muy buena calidad, sabor y con una atención maravillosa.100 % recomendable",4
Gerardo Martinez Santiago,Es un muy buen lugar para ir a comer en familia .,4
Abel Trejo Garcia,Excelente lugar,3
Joel Ramírez,Excelente lugar,4
José Luis Rocha Hernández,Considero que es un Sitio Agradable y con buen Servicio...,4
ANTHONY MAC,"Excelente, buffet. Los domingos",4
Sonia Solorzano,Muy relajado..,4
Daniel Sanchez Cortes,"Una muy buena cocina internacional, los sábados y domingos hay desayuno buffet. Rico",3
Carlos Bringas,Tiene buenos precios a la carta y está tranquilo la comida dos tres,3
Andrea Cholico,Un buen lugar para pasar tiempo en familia y la comida muy sabrosa.,4
manuel felix,Muy buen sazón,4
Abigail Angeles,Excelente servicio por parte del capitán Ernesto Reyes!!,4
angel belio,"Voy cada semana a desayunar. La atención es buena, el menú buffet aceptable, ambiente agradable, lo visible limpio, estacionamiento amplio.",2
Mara Tenorio,"Muy creativos en el menú del bufette. Muy atentos los meseros, una atención muy cordial!",3
Lic. Carlos Elizarraras,Es un sitio con excelente atención por el personal del hotel y agradable ambiente.,3
Sergio Barrios,"Mal servicio esta ocasión cuando mucho les soy la 4 estrellas tirándole a tres . Espero que para la próxima vez nos atiendan mejor y haya mayor variedad ,saludos",3
Angeoudenon,Deliciosa comida sobre todo el buffet,4
Jorge Gutiérrez,Lugar con una gran atención. Te sientes Omo en casa,4
Judith,"Buen chef. Y menú vegetariano!!! Like, like!!!",4
Carlos David Hernández caballero,"Muy buen servicio, excelente para el domingo el desayuno.",3
Lourdes Mendoza,Muy bueno,3
Viky,Muuuy burn servicio... sigan así,3
Alvaro Jorge Reyes Mendez,Excelente servicío muy buen buffet,4
Rena Flores,"La comida riquísima, la atención muy buena y el lugar muy acogedor",4
Natalia Gonzalez,Muy buena comida. Atencion. Limpieza. Excelente para venir en familia. Buena musica muy comodo Recomendado,4
Gustavo Jimenez,"excelente comida, ambiente sano, muy buena atención de todos",4
Miguel Angel Bosques Ramirez,"Muy limpio, excelente lugar solo que entre semana no está bueno el buffet",2
J&J P&P,Muy rico el desayuno buffet,4
Jose Villa,Exelente comida,4
Papito Papatzul,El desayuno Bufet es bueno y lugar agradable.,4
Yayis Lemus,Muy sabrosa la comida y un trato exelente!!,3
Oscar Aviles,Buena atención,3
Jose Olivo,Que precio tiene el buffet ?,4
francisco hernandez,Excelente servicio,4
Galeria Nubia Rives,"Muy rico, excelentes platillos, buenos precios y gran atención",4
Eugenia Navarrete Sevilla,Muy bueno el menú y toda la comida,3
Agustin g,Comida excelente y atención de primera muy recomendable,4
mauricio morales,Excelente atención,4
Andrea Ramirez Balbuena,Me fascina este lugar todo al 100,4
Jesus Valencia Palomar,Buena comida buen ambiente ...le falta más variedad de platillos,3
MARITERE VILLEGAS,"Buena atención, buenos alimentos un lugar agradable .",4
Estela Pimentel,Me divierto mucho y es muy rico comer ahi,4
Blanca Cervantes,BUENA ATENCION,3
yokis colin,Super amables todos me encanto,4
Israel Rodriguez,"Excelente comida y atención, por el gerente Ernesto.",4
carlos hernandez vargas,Su comida es excelente,4
Miguel Angel García,Muy buen lugar en general.,4
Regina Beatriz Melendez,"Excelente Restaurant, buena comida y servicio",4
Andrea Guzmán,Muy rico el desyuno bufet y a precios accesibles,4
Sarai Garcia,Super rico y de buen precio,4
Angel Gael Rivera,Desayunos muy ricos,3
Tony Ordaz,Excelente comida,4
Erika Valdez Morales,Delicioso! Platos muy bastos ,4
Rouss Solano,Buena atención agradable lugar y su comida rica,3
Ojos Val,Buen servicio,4
dragon azul XHD,Buen servicio,3
Aida Araceli Escobar DeGante,Buena atención y regular en alimentos,2
Ivette Claudia,"Uno de los mejores buffet para desayunar en la CDMX, ampliamente recomendable",4
Irma Rodrìguez,Muy recomendable!!,4
Johans Restrepo,La paella es muy buena y el servicio es rápido y son muy amables,3
Antonio Alvarado,Se come muy bien y tranquilamente,4
Mar Martín,"Un lugar limpio, con excelente atención y platillos exquisitos",4
Alejandro Gutiérrez,"Maravillosa atención, comida, lugar cerca de La Basílica de Guadalupe",4
Martha . Vilchis.,Está super rica la comida,4
GUSTAVO INIESTA,Buena comida tipo bufete y buen servicio,2
Conny Islas,Muy riko,3
Alejandro Perez,Excelente atención,4
Enrique Pratt,Exelente servicio,4
Alicia G. Orozco Monroy,Excelente comida,4
sergio Arellano,"Buena comida los camarones son muy buenos, además está muy limpio y tranquilo",4
Alberto Schiavon,Buen lugar,3
Marlenne Peralta,El buffet es muy rico pero caro,4
Laura Lara De Anda,Buen servicio y bueno sazón,3
Victor Ramirez Bautista,"Agradable, plato de quesos exquisito, lugar muy recomendable",3
ARMANDO SANTIAGO FLORES (Ursus americanus),Excelente servicio!,3
Lucy Aguilar,Me gusta mucho los platillos y la atención,4
luna alarcon,Muy rico excelente servicio,4
NOEMI MARTINEZ,Excelente atención,3
Marina Barrón Enríquez,Buenos los alimentos y excelente atención!,4
Juan Antonio Hermar,Deliciosa comida y gran servicio,4
Maria Maricela Campos Solorzano,Comida con. Excelente sabor,3
Maria Del Carmen Leandro Zaragoza,Excelente atención del gerente y meseros!,4
Silvia Baños Morales Baños Morales,Excelente comida,4
Daniel gonzalez,"Un bufete muy equis, no debería de estar abierto al público entre semana, es un desayuno tan equis y por lo que te cobran no vale la pena.",1
GABO G S,Falta variedad en el buffet del desayuno.,2
Marco Figueroa,Buen lugar para trabajar fuera de la oficina,3
MONICA JIMENEZ LUIS,Muy rico!!! Agradable lugar,4
Alexandra Ruiz,Exelente lugar,4
Ulises,Buen lugar para eventos familiares de no más de 100 personas,2
Alvaro Romero,Agradable.,4
Alberto Rios,Muy buen sazon y servicio,4
Laura Vega Soto,"Deliciosa comida, mis felicitaciones al chef",4
Lilian Domínguez Montero,Excelente servicio y los alimentos de lo mejor,4
Manuel Chacon,"Excelente, buen buffet, buen servicio, buenos precios",3
Abigail Paz,Exekente servicio y la comida deliciosa,4
José Eduardo Calderón Zimbrón,Excelente lugar muy bonito,4
andres garcia,Buenísimo el bufete,4
Fernando Valenzuela,Excelente comida y lugar agradable,4
CARLOS IVAN FLORES TORRES,Alimentos de 1# + atención al comensal de 1# + buffet de 10 # y ambiente de 1# = no hay mejor lugar que Lepanto,4
Rogelio Arizmendi,"Buen lugar, especialmente el bufete",3
Alejandra Mancera Ramírez,Espectacular,4
Enrique Villarreal,Excelente bufete y buen precio,4
Gustavito Ini,"Buffet barato, buen servicio",2
Santiago Guerrero Contreras,Poco serviciales algunos meseros,2
Patricia Rodrigo,Exelente Buffet.,4
Juan Santana Santana,Elegante,4
KARINA LIZBETH yañez BARRAZA,Rico y variado el buffete,4
arturo leon hurtado,Para comer o desayunar esta prefecto pero es un poco caro,4
ELIASSAU,El precio no se justifica con la calidad de los alimentos,1
Veronica Villalon,Excelente,4
Rogelio Gonzalez Navarrete,Excelente los platillos,4
Jose Romero,"No ay mucha variedad en el bufete, muy escaso",1
Andres Vare,Excelente,4
Luis Antonio Mendoza Camacho,Excelente,4
Ismael Peña,Excelente,4
Jorgue Nava,Se come de maravilla,4
Cristina Mariana nava mora,La atención es maravillosa,4
jose loza,Buen hotel y restaurante,2
Miss Laura Español,Agradable,2
Dannyel Grimaldi,Excelente,4
Marce,Excelente buffet,4
CLAUDIA PATRICIA AGUILAR ANGELES,Me encanto,4
Georgie S.,Bueno...,2
Alberto Guerrero Marin,Servicio de excelencia,4
Joss “Diseñadora” SC,Hay poca variedad de platillos,2
Wver Alejandro Galván C.,"Limpieza, profesionalismo y comodidad",3
Furwagen VM Grupo Industrial,Siempre excelentes alimentos,4
MONICA G. MUCIÑO,Excelente!!!,3
ANGELICA CASTILLO,Rico,4
Justice,"Simply five star food, facilities, food and staff. Food is great! (Traducción de Google)…",4
Teresa Bodnar-Hiebert,Magnificent food. Magnificent service. Perfectly close to Our Lady of Guadalupe Basilica! Ernesto is an amazing maître-d!…,4
Jerry Liu,"Highly professional wait staff, very attentive and courteous! Fantastic food especially Sunday breakfast. Manager Ernesto Reyes - very accommodating!…",4
Simon Yeak,"Incredible service, and full tasting food! Ernesto is fantastic in his service and attention to customers…",4
Jorge Guerrero,Best place to visit in the surroundings (Traducción de Google)…,4
Sara Arias,Ok (Traducción de Google) OK,3
Hugo Garduño,,4
Silvia Solís García,,3
Luis Rodrigo Tapia,,3
Grmán RS,,4
Gerardo Ortiz Bravo,,4
Concha Sanchez,,4
Nelson Inestroza,,4
Eduardo Novoa,,4
Catalina Isabel,,3
manuel galicia herrera,,4
Ma.gpe Granados Islas,,4
Gerardo Mandujano,,4
Guadalupe Nemesia Sánchez Gomez,,4
Oscar Badillo,,1
Jesus Gonz,,3
Carmen Ayala,,4
Erika Benitez,,3
Jorge Torrecilla,,3
Lucia Carredo,,3
Fidel Ruiz,,3
Guillermo Alejo Fragoso,,3
jose Juan Rodriguez hernandez,,4
Lorenzo Zetina,,4
Fernando reyes gomez,,4
Juan García,,4
maria remedios bautista,,3
Tiziano Paniz,,3
Andrea Martínez,,4
Ribani Nogueda,,4
Antonio Flores,,4
Mariana Sanchez Martinez,,4
Edmundo Alvarez,,2
gabriela reyna,,4
Jacobo Reyes,,4
Benjamín Alviso Herrera,,3
Elsa Ferreira,,4
Irene Rios,,4
Luis Perez,,3
Raul Faure,,3
regina Pineda,,4
Dara Yojaved Ventura Ramírez,,4
Alejandro Domínguez,,4
Esperanza Brito,,4
VICTOR ALFARO,,4
Adriana Gallegos,,3
Norma Centeno Rizo,,4
Vanessa Yanez,,4
leticia mendoza,,2
Enrique Martinez,,3
Ricardo Palacios,,3
Esther Martinez,,4
lorena segovia,,4
Juan Pablo Ávila,,4
Isil Kuriakose,,3
victor manuel romero esparza,,4
RICARDO UGALDE,,4
Marco Vazquez,,4
Eduardo Figueroa,,4
Martha Simoni,,4
Guillermina Lopez Tellez,,4
Marisol Perez,,4
Diana Hernandez,,3
pepe p,,1
Sol Olivares,,4
Eduardo Bahena,,4
Mayra V. Valencia Neri,,4
Edgar Adolfo Mosqueda Arredondo,,3
Valentín Cruz,,3
PANDI GAMERS,,4
Arturo Ramos,,3
Ricardo Ugalde,,4
Ana De Prado,,4
Luis Alberto Ortiz Miguel,,4
David Roberto Diaz Rodriguez,,4
Miriam Tobon,,4
Carla NaLo,,4
Yakumoni Shisa,,4
Techops Sa,,3
Laura Bustamante Flores,,4
Laura Cortés Pacheco,,4
Leslie Walle,,4
Keyli Cabañas,,4
Jose Ortiz,,4
Claudia Rivas,,3
Ileana Ramirez,,3
Miguel Zamora,,4
Gudelia Luna,,4
IVAN MARTINEZ,,4
Roberto,,4
MONTSERRAT RODRÍGUEZ VARGAS,,3
Alex García,,4
esmeralda velasco carballo,,3
Ale Del Ángel (Alita),,4
Marisol Méndez,,2
Maggie Rodríguez,,4
Susana R,,3
cristor28,,4
Margoht79,,4
Oskar Garcia,,4
Angie Lion,,4
Carlos Ortiz,,4
Armando Navarro,,3
Gloria Yañez,,3
Steed Lord Fan,,4
Laura Gladys Cardenas,,4
Miguel Angel Hernandez Rubio,,3
Ulises Velasco,,4
Julio Cesar Magaña Herrera,,3
Lamberto Retana Moreno,,4
Sheila Alcaraz,,4
Edoardo E. Maciel Roldán,,3
Mariana Hernández,,4
Valeriano Carrillo Fernando Kael,,0
Jose Luis Godoy,,2
GRISEL,,3
David Barraza,,0
Amellalli “joss” hernandez,,3
Sidney Anibal Espinoza Huerta,,4
Victor Mendoza,,4
Cyvsa Mantenimiento,,4
solecita fox,,4
Adriana Monroy,,4
HECTOR FRAPPE MUÑOZ,,4
Eduardo Prado,,4
karin nunez,,4
DULCE SARAI VELAZQUEZ RAMOS,,4
Lucia Consuelo,,3
Jesus Miranda,,4
JUAN CARLOS VILLASEÑOR,,4
Violeta Rosales,,4
PRADA AMOR,,4
Monica Muñoz,,2
Anna Tellhdez,,4
Giovanna Saenz,,4
Eric Ladrón,,4
Enrique Valdez,,3
Laura Segoviano Reyes,,4
Diana Gonzalez,,4
guadalupe cantu,,4
Mario Landetta,,4
ERNESTO CORTES CONTRERAS,,4
Alicia Vanesa Alquicira Olmos,,3
Luis Guzman,,3
Libertad Cano Brito,,2
Rolando Villanueva M.,,3
Dinanamo,,2
MVZ MARY HERNANDEZ,,4
rosa maria palacios garcia,,4
Alejandro Gallardo,,4
Willam Rivera,,3
Moris Barragan,,4
GUSTAVO TONIX,,3
Guillermo Moreno,,4
jorge torrecilla,,3
Dolores Hernandez,,3
antonio martinez,,2
Arturo Jesus,,4
Natividad Moreno Gutiérrez,,3
Ernesto Cacique,,4
Noe Cruz Hernandez,,3
Jeannine Muedano,,4
Socorro Camero,,4
Maria Elena Pelayo,,4
pepe cisneros,,4
Ivan Guerrero,,3
Marce Mendez Gonzalez,,4
Alberto Cadena Mojica,,4
Javier Reyes Quintana,,3
Susan Rodriguez,,4
Sandra Rios,,4
Hector Ricardez Mendez,,4
Martin Rafael,,3
lupis fi,,3
Ma Guadalupe Soto,,4
Vanessa Chavira,,4
Jessy Diaz,,4
Soledad Olguin Hernandez,,4
Esther Balderas,,4
Manuel Torres Marin,,4
fidel brito,,4
Eduardo Mejía Villagomez,,4
Francisco Antonio Cuevas Valeriano,,3
Claudia Sandoval,,4
christian raul albarran alfaro,,4
Berenice Velazquez,,2
Edgar Villavicencio,,4
Eduardo Zarate,,4
Gerardo Navarrete Juarez,,3
Juan Jesus Becerril,,4
Isela Alvarez,,4
Rodolfo Flores Gomez,,3
Carlos Velazquez,,3
Andrea Juarez,,3
Guadalupe Barrera,,4
Car Zavala,,4
Lupita Romero,,4
Cynthia Fabila (Cyn),,3
Maria Dolores Alanis,,3
Anel Mier,,4
JUAN VALERIANO,,3
carlos caleb campos alvarado,,3
Alan Velazquez,,3
Mich M,,4
Andrea Martínez,,4
Blanca Alejandra Vera Nolasco,,4
Luz Yadira Maya Islas,,4
KEVIN VEGA,,4
RoXzyef ????,,4
sandylu ortiz,,4
Lu Gonza,,3
Marisol Gamboa,,4
Raymundo Diaz,,2
Ernesto Reyes,,4
PINK STUDIO. Clases de Pole Dance y Fitness,,4
fer Pinzón,,4
Gladis Gladis,,4
Guadalupe Molar,,4
JHR,,4
Pedro Her,,3
Zdenko,,4
José Antonio Aguirre Quinto,,4
Karla Gallardo,,4
Carmen Saab Asbun Gustavo A. Madero,,4
Emmanuel Leandro,,4
Jesus Gabriel Torres Sanchez,,3
Tania flores,,4
Valeria Paniagua,,4
David Aranda,,4
Proyecto Gandul,,4
David Isael Domínguez Hernández,,4
HECTOR FRAPPE MUÑOZ,,4
Ana Leon,,4
2Fatima Isabel Torres Ramirez 2,,3
Kai,,4
Selene “miki 36” Lopez,,3
Martha Cano,,4
Ana Calixto,,4
miguel angel lopez urrutia,,3
Aline Yepez,,4
RINGO TAL,,4
Marlen Rdz,,4
Karen Garcia,,4
Mario Sánchez,,4
Mónica Chacon,,0
PANDABOOS 220916,,4
Luis Fernando Jimenez Manrique,,4
Eduardo Guerrero Gonzaga,,4
Mafer Romero,,4
Pawel Wisniewski,,3
juridico vazquez,,4
manuel CRUZ,,4
Roberto Ceron,,4
Angel Noriega,,3
Silvia Sanchez,,4
Lilian Gomez Tagle,,0
Gerardo Navarrete,,4
Oscar Nadez,,4
Marbiss Zay,,2
Ana Karen Con K,,4
