username,review,calificacion
Lourdes Rios,"pésimo servicio por parte de los meseros, se tardan en atender más de lo normal.",0
Angel Masamune,,4
Ignacio Quintana Lemus,Desayunos excelentes y a muy buen precio.,4
Andres Sanchez,Exelentebservicio,4
Ana LOPEZ ZAVALA,"Excelente atención, alto precio. La comida escasa. Hay valet parking.",3
Charly Cabrera,,4
BELEN OLEA,,3
Laura Cano,"Una delicia la cazuela de mariscos gratinada, las recomendaciones de los meseros son buenas y te pueden mostrar fotos de los platillos nuevos, el servicio fue rápido, la atención fue muy buena también",4
Fernando Vázquez,Lo mejor de lo mejor,4
Ricardo Basurto,,3
Alejandro Espinosa Nava,,4
Daniel Ogando,Buen ambiente y excelente servicio.,4
Laura Rivera,,1
Cristhian Guillermo Cardenas Velarde,Excelente,4
Diego García Pastrana,Excelente servicio un poco de discriminación a escoltas!!,4
Carlos E. Garcia,Excelente,4
Lopez Piter,El lugar es pequeño por lo cual la atencion es muy buena el personal de meseros que llaman ''anfitriones'' estan atentos en las peticiones de los clientes,3
Andy Lopez,"Servicio masomenos, se tardan, te llevan a tu mesas bebidas que no pediste, etc!",3
omar torres,La comida muy rica y el servicio estuvo excelente,4
Angel Avendaño,,4
Carmen Flores,Delicioso como siempre. Solo la atención de sus meseros! Ya no es tan buena como antes !! Ojo con esos detalles fisher!,4
Mary Vic,,4
LAURA HERNANDEZ,,4
Cecilia Arredondo,,4
Patricia Perez trujillo,Se come bastante bien y los postres super,3
Rafael Gomez,,3
Midori Neko,,0
Berna González,Súper atención de Betzabet.,4
Sxntx Prz,Muy rico todo un buen servicio por parte de los meseros,3
César Cabrera,,4
Laura Iniestra,,4
Aries Topografía y proyectos,Muy rica comida. Y excelente servicio,4
Rene Nuñez,Ambiente tranquilo y agradable,4
Jonahtan Durán,,2
Julio,,4
omar reyes,,4
Jose antonio Lopez lopez,,4
Mariana Valdez,,4
Alberto Fierro,,4
Cynthia Hernández,,4
Jimena Rodríguez,,3
Bladimir Pérez,,4
Pablo Silvamolina,Excelente comida y muy buen servicio!!,4
Noel Medina,,4
Alberto Aguilar,,4
Javier DE ANDA,,4
Alan Diez,,2
Alejandro Sandoval,,4
juan jose noguez,,4
Esteban Martinez Campos,,4
Fany Munoz,,4
Jeimy Duenas,Los más deliciosos hoy cakes,4
Julio Nuñez,,1
Emmanuel Ceron,Muy bien el lugar y ricos los ostiones Rockefeller,4
Maria Esther Zavala Weber,Excelente servicio y muy rica su comida ,4
Olga Sana,,2
Rafael Hernandez,,3
Manuel Rodriguez,,4
marcos guzman,"Ya solo es el nombre de renombre, si no te ven con un buen vestido los meseros te atienden con una actitud como si les fueras a pedir regalado ",3
Carlos Alva,"Genial, sobre todo la atención!",4
cesar martinez,,2
Marcela Torres Hernández,"Definitivamente hay que hablar del Fisher's antes y después de la pandemia. Conservaron los precios altos y el trato amable, peeero cambiaron de chef y bajaron la calidad y la porción de los platillos. Ya ni siquiera venden paella a domicilio!!!! Si puedes evítate la pena de gastar mucho por una comida ""X""",1
Jose Capone,,4
Alfonso De Cossío,Excelente la calidad de comida y buen ambiente.,4
andre guerrero morales,,4
ᚱᛁᚲᚨᚱᛞᛟ ᚦᛖ ᛊᚨᚲᛊ,,4
Arturo Alva,Excelente espacio para pasarla chido con los cuates,4
Hospital de Computadoras,,4
MAESTRO CHARLY D.,,4
Daniela Martinez Gamez,Rico,3
Arturo Perez Chavez,,4
francisco villegas,,3
Marcos Alejandro Casco Martinez,Es un excelente lugar limpio t agradable,3
Hector Alonso P,,3
Jimena Ballesteros,,4
Enrique AlbaA,"Comida para llevar, bien empacado y con todas las medidas de seguridad.",4
Alex Gallardo,,4
Rosa Maria Mendoza Aguilar,Sus platillos son muy ricos y las bebidas excelentes Muchas gracias por su atención,4
Maria Jose Oropeza Cardenas,Siempre los mejores!!!! ,4
Mona Garnica,"Siempre me ha gustado la atención, la ubicación y el ambiente, es muy placentero y los platillos me encantan!! Por supuesto no puedo omitir los postres... Delicioso!!",4
Luis Rubio,,0
Misael Macias,"Rico, rápido,limpio, oysters económico",4
Martha Elba Monroy,Muy caro y mala la comida... Al menos lo que pedimos...,0
Cerrajero David,La pase super,3
francisco Diaz feria,Excelente atención del personal,4
Ericka Haces,"Agradable lugar, comida deliciosa",4
Jose Sanchez,Muy sabroso,4
Alejandro Chávez Leyva,,4
Cyntia Caire Gomez,Delicioso y una atención muy adecuada,4
Mario Rodriguez G.,,4
Saúl López,,0
Daniel Valero,,3
Mar FG,Exquisito. Amables.,4
Norma Su Loo,,4
Santiago Villegas,,2
Lu Mateos,Excel lugar!,4
Marco García,,4
Diego “DiegoLiffeMotors” Liffe,,4
Derek Rag,,2
Adrian Vega,,4
Marco A Garcia,,4
Alberto Martínez,Delicioso,3
José Alberto MEZA,Muy rico,4
Mario Leonardo Godinez Rodriguez,,4
Arturo Froum,Buenos platillos para desayuno!,4
Biby Kmps,,0
Sergio Servin,"Se come muy agusto, excelente servicio ",4
Jesus Hilario,,3
Juan Villafuerte,Buenísimo todo lo que ofrecen,4
Beto Bodoque,Bien la atención,3
Carlos perez bautista,Buen lugar aunque el elevador no sirve.,3
Mario de Jesús Lizarraga santos,"Comida deliciosa, buena atención, lugar agradable.",4
Carlos Alvarez,"Excelente su terraza, sus instalaciones y los pepigin!!!",4
Raul Silva,,3
Alan Luna,,4
Daniel Caballero,"Excelente servicio, bebidas y comida!",4
Héctor Villegas,Siempre es muy rico comer en cualquier Fisher,4
Jorge A. Lopez V.,,2
Horacio A. López,,4
mitzy luna,,4
heriberto diaz,"Mismo menú, muy rico como siempre",2
Omar Mendoza,"Delicioso, el concepto de toda la vida... un clásico de los chavorrucos como yo ",4
cr vananna,"Excelente servicio, ricos platillos",4
Adolfo Garcia Alonso,Excelente lugar,4
Lucy Torres,,4
Elias Gonzalez Rogel,"Todo riquísimo, como siempre. El servicio rápido y amable. Fuimos en la tarde y la iluminación no es buena.",4
Victor Gutiérrez,,4
Sofia Carrillo,,4
fulanito kintero,Buena,4
Bernardo Mancera,,4
Hugo Armando Gonzalez castillo,,2
Hector Mercado,"Una excelente opción para el desayuno o la comida, la comida es muy rica y puedes acompañar con la gran cantidad de bebidas que hay",4
Edgar g.p,Los platillos son muy pobres deberían de ser más abundantes,0
Damian De Leon Alvarez,Excelente atención de parte de el personal y muy buenos protocolos de seguridad Covid,4
Gabriel Fernandez,Excelente comida y ambiente,4
Beatriz Flores Mendieta,Lugares planificados con la sana distancia ,4
Ricardo Palos,"Buen servicio, a secas.",4
Maximiliano Ruz,,4
Pablo Gamboa,Linda recepciónista,3
SKA MUNDIAL MUNDIAL SKANKING,,3
Regina “tiqui tiqui” Hernández,,3
ThePockarts,,3
Jorge Arrazola,,3
Brian Peñaloza,Mi lugar de confianza para una tarde de amigos y tragos. Todo muy bien. Recomiendo la parte de la terraza!,4
Ernest Santiago,,3
Diego Garcia,,4
Eduardo Escamilla Joublanc,Excelente comida y servicio.,4
Juan Carlos Garcia,Riquísimo...,4
Diego Lopez Esparza,,4
Gustavo Muñoz,,3
Luis oscar Cervantes nieto,,4
carlos noriega,Rico lugar pero los chilaquiles son totopos bañados con salsa no tan ricos,3
Luis Hernandez,Excelente lugar,4
Ariana Hernandez,Servicio pésimo. Por mucho la sucursal de avenida lomas verdes es mejor,0
Judith Trejo,,4
Monica Camacho,,4
Rafael Dominguez Machorro,,4
fernando correa,,4
fany gonzalez,,2
Roberto Núñez,Buen servicio de Carlos el anfitrión,3
Mariana Salazar,Delicioso y excelentes medidas de protección.,4
Román Aguilar,"Muy buenos platillos, los precios son un poco caros.",4
Adolfo Timm,Buena comida y bebida.,4
jose luis salinas,,4
Carlos Martinez,,4
Flavius,,4
Ramón Eugenio Martínez Blanco,,4
David Martinez,,4
Karen Ruiz,,3
Alberto Fuentes Vidales,Mmm uy buen lugar para comer mariscos,4
Angelica Miranda,,4
Luis De La Torre,,4
Miguel González Ruíz,"La comida mala y el servicio regular, los precios muy caros",1
CyMa Dent,Excelente atención,4
Horacio Colón,,3
Paola Padilla,,4
Gabriela Ruiz,,4
Miguel Carballar,Nada como iniciar por la mañana visitando fishers,4
Rodolfo Ruiz Sandoval,Buen lugar aunque caro,4
Andrea Luna,Todo super bien!!,4
Eduardo Molina,,4
Juan A Serllim,Excelente servicio y atención,4
Juan Manuel C Romano,,3
CECILIA MORENO,Muy bueno todo!!! Tanto los platillos como las bebidas!!!!,4
Gregorio Ramos Ramirez,,4
LUIS ARMANDO VÉLEZ GONZÁLEZ,,4
Gamaliel Ontiveros,,4
Omar Villagomez,,3
Cesar chacon vela,,4
Marco Gámez,Excelencia en Mariscos!!! Tanta razón el eslogan ,4
Armando Gutierrez,Exelente muy bueno,4
César Ricardo Quiroz Muñoz,,4
Humberto Macip,"Sin duda, los mariscos son de excelente calidad y el servicio de 10. El único punto en contra es que los precios si están por encima del promedio.",4
Raul Tellez,,4
Caly Reyes,,4
Mauricio Peña Garavito,Buena comida y sercicio,4
Ricardo Cordero Dávila,"La comida no es tan espectacular, afortunadamente no me he topado con borrachines peleoneros que han arruinado la imagen de esa cadena. un factor clave para no regresar es que me hizo reacción su pescado. Han de freir camarones con el pescado.",0
logistica chefmart,,4
Kelvin Gama,,4
Luis Velez,,4
Eduardo Arriaga,,3
Concepcion Martinez UwUr,,4
Juan Jose Ruiz Tamayo,,4
Alma Rosa,Muy buena la comida y la atención,4
Brandon Fletcher,Buena comida  aunque hay bastante gente.,3
Carlos Moreno Ibarra,Aún no están al  en cuanto a mesas sin embargo la atención es más que excelente,3
Raul Lopez,,3
Erick Angeles,"Pésimo lugar en cuanto a la atención de los clientes , la gerencia trata de la peor manera a los meseros ""gritoneandoles"" parece cantina mal oliente.…",0
Katya Villazana,"Vi como un jefe le gritaba a un empleado, corriendolo y humillandolo enfrente de todos los comensales. Eso es muy desagradable ya que vas a un lugar a qué te traten bien pero con esa gerencia no dan ganas de regresar.",0
Diego Velazquez,,3
flaco Carrillo lopez,Muy buenos restaurantes,3
Yesenia,,3
KAREN CONTRERAS,,4
Janet Roa Zamorano,,4
Miguel Angel Martinez,,4
Rosa Alicia Gonzalez Miramonted,Con todas las medidas sanitarias. Comida excelente,4
Juan Martin Benitez Lugo,Todo muy bien,4
Carlos Ruelas,,4
Diana Núñez,,4
Veronica Garcia,Siempre bien.,3
Xavier Molina Gonzalez,Un poco caro para las pociones que ofrecen Pero el sabor es muy bueno,3
Armando Cruz,,4
Israel Verona,"Muy mal entre como cocinero pero muy mala paga no te explican realmente lo que debes de realizar ni como montar los platillos, trabajas 8 hrs y te dan solo 10 min para comer pero ni alcanza la comida para el personal",0
Sergio Moreno,,4
Oscar Zarate,,3
gerardo Alberto Cordova,,4
javier sanchez,,0
Enrique AmGar,,0
Samuel Martinez,,3
Ismael N,,3
Daniela Cifuentes,"La comida muy buena como siempre pero el servicio deja mucho que desear, lentos, distraidos y no muy atentos.",2
Oliver Naranjo,Exelente servicio con las medidas pertinentes,4
Armando Antonio Martínez Cortés,,4
Naomi Itzel Delgadillo Martinez,,1
Fishers Mexicas Mexicas,"La comida deliciosa, el servicio excelente, super recomendable",4
Edgar Padilla Arista,,3
Jorge Rayon,"Feliz de que ya esté abierto, uno de mis lugares favoritos, excelentes recetas, la mejor comida del mar",4
Arturo Vargas,,4
Joel Flores,Nada que ver pescadillas caras y feas,0
Luciano Hernandez,Exelente servicio por partd del personal,4
karen mora perez,"esta queja es para fishers acoxpa con enojo y que hagan algo y tengan gente buena no que solo pierdan el tiempo. lo siguiente es porque hace tres dias lluegue con mi esposo a dicho restaurante a las 7:20 pm y en la entrada en recepcion se encontraba una chica de nombre delia, le pregunte que hiba a ser pedido para llevar pedi el menu y me lo nego me dijo que lo checara por internet y le dije bueno quiero ordenar y me contesto muy despota y grosera que ya no habia servicio que ya la cocina ya habia cerrado, entonces le dije como era posible si el servicio era hasta las 8 pm y con toda la amabilidad y groseramente me respondio que no, me molesto demasiado por que jamas se levanto de su comoda silla y no solto el celular de la mano para nada creo estaba muiy ocupada para negar y atender el servicio. la vdd no es la primera vez que nos pasa hace apenas una semana de igual manera por las mismas horas le sucedio lo mismo a mi hijo, llego a casa enojado por que me dijo que una chica de nombre delia le nego el servicio, entonces pónganse de acuerdo fishers si su horario en internet esta hasta las 8 pm respentenlo si no pues cambienlo y no dejen a personas nefastas y de mal caracter en la puerta, imaginense en plena pandemia donde no hay empleos y ventas y todavia ponen a gente como esta chica a atender que pesima decision del gerente.si esta persona no quiere trabajar pues que le de el espacio a alguien que lo quiera hacer de verdad, tenemos la costumbre de ir dos veces por mes o minimo una. pero nos habia pasado anteriormente con ella el ver que es muy contestona y le ignora a todo el que le pide mesa, de vdd pido y exijo una solucion con el gerene general que muy amable se encuentra y tome cartas serias en el asunto y ver que esto no este pasando mas por que es muy desagradable ver que solo se van a sentar y al celular y no poner atencion a su trabajo. pido y suplico o no se con quien tenga que contactar para que hagan caso a mi demanda ya que si no lo hacen le pasara a mas personas, directivo a persona encargada de esa zona tome en cuenta esta queja ya que no quiero dejar de ir pero no me gustaria pasar por lo mismo, espero y de vdd tomen cartas en el asunto y vean en serio a esta persona que ademas de grosera se le ve una amargura que no puede con ella. de antemano quedo de ustdes para saber que si hicieron algo y si no pues ver la manera de que mi voz sea escuchada. espero pronta respuesta gracias.",2
XA Sand,,4
Mauricio Huerta,Excelente!!,4
federalfoil federalfoildeanos,,4
Semadimo Díaz,,4
Ismael Arellano,Muy buen servicio,4
JORGE RIVERA,,4
Alonso Karras Díaz Barriga,Bueno como todos los fisher's,4
Jose Antonio Plata Centeno,Tragos,4
Joche Arenas,,4
Sergio Sanchez,Todo muy bien!! Como siempre...,3
Gabriel H,,4
Victor Losas Prefabricadas,,1
Diana Hernández,,4
Erik Guillermo Chavero Velasco (Nelson),,4
Gabriel Quelite Gonzalez,,4
Claudia Bejero Mandujano,,0
Wendy Alcántara,,3
german gomez,,4
Marcel Hernández Romano,,4
Fausto Argoytia,,4
Jose Luis Kztro,,4
Luzma Lozano,Siempre es un gusto asistir a comer,4
Monica Sierra,,4
Marcelino “Marchelo” Rivera,,4
Israel Pérez,Excelente atención y la comida siempre muy buena. Los nuevos platillos son recomendables.,4
ESTHER GOLDBERG,"Traigo un café lleno de otro lugar en vez de encontrar una solución para que pueda desayunar en el restaurante y no desperdiciar mi cafe, me niegan la entrada con el mismo. Pésimo servicio al cliente. Es importante buscar el ganar ganar y satisfacer las necesidades del cliente. Pésima resolución de conflictos.",0
Israel González,,4
karina azamar,Mi lugar favorito,4
Alejandro Avila,,3
Gerardo Landa,Excelente servicio ,4
Paul Trad Kuri,Delicioso como siempre mi Fisher's querido... esta vez pedí un ceviche tatemado... no sabes que locura de platillo... no se que tanta madre trae pero pedí doble!!!...,4
Frank Mtz. Brra.,Muy sabrosos los platillos,4
Javier Santos Ortega Cano,,4
Itzel Morales,,4
Nelson Carrillo,Rixos mariscos,4
Manolo de la Barquera,El servicio podría mejorar,2
Alejandro Mena Rubín de Celis,"Lugar de tradición Sateluca! Buena comida, excelente atención y tragos!",4
Gerardo Hernandez Gutierrez,,3
Cotta Beq Cal,"Excelente lugar, riquísimo todo, en especial me gustaron las enchiladas ( tiene un toque como de chochinita pibil)",4
Sergio Rivera,,4
Jose Villa,Muy rico todo,4
Plau Bojo,"Muy caro, hay mucho ruido, y son pequeñas las porciones, pero los meseros muy amables.",1
jorge diaz de leon tinoco,Súper!,4
Maria Eugenia Guadarrama,Estan deliciosos y frescos los mariscos,4
Lina Vera,,2
poncho gkp,Muy buena,4
Sandy Vidal,,4
Maribel Alonso,,4
Irma Hernandez,,3
Rita Julia,Toda la comida me gusta,4
Lizet Fabris,"Un robo!!! Pedí para llevar y los alimentos parecen para jugar a la comidita, parecen solo pruebas, pero carisimo.",0
ANI,,4
Marco Antonio Osnaya.,Excelente servicio platillos muy novedosos y deliciosos en general excelente servicio además de las medidas de seguridad por covid muy comprometidos con lo referente a medidas de sanidad un 10 definitivamente,4
Beto Calvillo,,4
fernando novelo gonzalez,,4
Enrique Ortiz,Bien,4
Jose Mtz,,4
MASKA Alejandre,,3
Eliud M,,4
Jorge Mexia,"Bien los alimentos, aunque las porciones son pequeñas. Los tragos omo siempre muy bien. Servicio muy bueno",3
Gustavo Flores,,4
Luz Paola,,3
abuelaza abuelaza,Delicioso,4
Osvaldo Deciga,,4
Gerardo Romero,Excelente servicio,4
gerardo guzman quiroga,,3
Margarita Flores,"Muy bueno, les recomiendo los chilaquiles de mariscos",4
MIKYS GARCIA,Para Buenos mariscos aquí buen trato del 3,4
Rocio Serrano (AnKraml),,4
Edgardo Emilio Baldit Martinez,"Me encanta, excelente comida y gran sercvicio",4
Lorena Medina,,4
Alberto Salazar,Excelente servicio y platillos.,4
Eduardo Hernández,,3
Advance Trade International,Nice (Traducción de Google) Bonito,4
Virginia Medina Avila,En comida para llevar tienen que sensibilizar al personal que atiende. Habemos gente que tenemos mucha precaución y eso no debe molestarles. Sobre todo con el chico que cobró la cuenta y entregó el paquete de alimentos.…,1
Daniel nieto,Buena ubicación tardan bastante en entregar o en darte mesa ya que es muy concurrido si tienen valet parking es lo bueno,3
INFRETASOLUTIONS POS,,2
Moises Alvarez,,4
Ma. de los Angeles Pera,Muy tardado .muy caro,3
Sergio Vels,"Como todos estándar bien mantenido, siempre cumplidor",4
Carlos Sánchez,,4
kingmtz1976,Excelente opción para comer y beber sabroso!,4
Antonio Jimenez,,4
Daniel Jaso,,4
Anamari Perochena,"El paquete de Taquiza para llevar que se ofrece en la página de Internet está muy bueno, alcanza como 4 a 6 personas y a buen precio.",3
Ana Rosa Bello,,4
Josue Avila,"Gran calidad y sabor de los alimentos! Buena limpieza del lugar y hubiera sido por completo grata la experiencia, de no ser por la atención, un poco desorganizada e ineficiente.…",3
Mario Hernandez,,3
Carlos Montero,,3
Big Mau D T G,"Como siempre, excelente y delicioso, servicio impecable",4
Myrna Buenfil,Muy limpio y buena atención.,3
Yan Diego López Andrés,,4
Johnny The Joker,,4
Nallelyney Lopez,,4
Karina Garcìa,,3
Asesoría Fiscal Asesoría fiscal,,2
Marco Antonio Marquez Castro,,4
Omar Aguilera,,4
Mayra Alejandra Montero Cortés,,4
Salvador Urbina,,3
Gina Arzate,,0
Alejandro Zagazeta,"Sucursal tránsito Naucalpan Muy rico todo, excelente atención",4
JORGE HERNANDEZ,Súper Ok',4
Domingo Tellez Acosta,,4
Eduardo A.,,4
Omar Elizondo,El espagueti alfredo con camarones esta de lujo,4
jaime velazquez,,4
Hina Razo,Muy rico y buen servicio,4
Vero Lozada,,0
Nashielli guerrero,"En Servicio y medidas de covid 19 muy bien, pedi carnitas de pescado horribles!! Llenas de grasa, se escurria la grasa por la boca y casi no sabia a pescado !!horrendo!!, el sandwich de fish and chips, la salsa tartara muy mala, tacos de arrachera con camaron ni siquiera sabia a camaron, ",1
Abugail7Lozz JAM,,4
Concepcion Valadez,Todos lados s platillos son deliciosos y las personas que atienden son muy amigables,3
S.,"Si pides 1 cerveza te traen 2, un tequila te traen 2 pero si pides 1 limonada te traen 1.",2
Jose sanchez,,4
ARTURO AYALA,Exelente comida y bebida,4
Juan Carlos Escobar,Buen lugar para comer mariscos y bebidas,4
Uriel Lucia,,3
Javo M,Pésimo servicio,0
luis reyes,,4
Ricardo Ramírez,Excelentes opciones,4
Alfredo Juárez,,4
Isabel Valencia Diaz,Excelente comida,4
Luis Gerardo Martinez,,4
Sandra Luz Sanoja Sarabia,"El desayuno, mi comida favorita en fisher's, super servicio de Yazmin hoy en la mañana.",4
Dark Knight,,3
Brigitte Reyna,Muy rico todo!! Y muy limpio,4
Piña Torres,,3
Cuarzo 4,,4
Enrique Solis,Buenos drinks,3
Karla Domínguez,"Todo bien respecto a las normas, muy buena atención. Único detalle, los camarones duros xq se pasaron de cocción. Mi esposo pidió una sopa de mariscos que parecía crema de mariscos, queso sumamente excesivo.",2
Elizabeth Martinez,,4
Fernando Monroy,"Mal servicio, ya había ido anteriormente y todo perfecto, pero ahora me trataron muy mal y la comida no me agrado. Cambiare de sucursal.",0
Valdo Alvarado,de lujo muy bueno,4
Jose de la Fuente,Buena atención pero el valet es muy caro,3
Rafa Marenco,,4
Moisés Chilchoa,,4
Js “JAA MAQUINARIA” Arce,Todo delicioso,4
Yazmin Hernandez,,4
Liliana Hernandez,,4
Juan Sanchez,,4
Salvador GT,,4
Angel Cano,"Mariscos!! Buena atención, buen servicio, buenos cócteles y el sabor único de fishers.",4
Clem Clementina,,4
René Morales de los Santoss,,3
Jose Garcia,,4
Liz Galindo,,3
Rodrigo Maza,,3
Viridiana Zavaleta,,4
Ismael Antonio,,4
Michelle S,Muy buen servicio y buena comida,3
