username,review,calificacion
Juan David Sanchez Vidal,Muy agradable precios accesibles y platillos bien servidos muy ricos los camarones en salsa de piña,4
Salvador Gamboa,Tarda mucho en servir la comida,1
R MeMo,"Los platillos muy buenos, las mojarras están ricas y doradas.",4
LUIS REY HDEZ. YEPEZ,Un poco descuidado... Pero la comida excelente con precios asequibles...,3
Bibiana Cortes,"Es s un lugar agradable y la comida rica, el personal muy atento",4
Daniel Patlan cruz,Limpio muy bien,3
Efrén Sánchez,"Sabor regular, precio exageradamente alto, y sirven muy poco.pesimo en general",0
Armando Castro,Muy buen sazon y todo excelente se come muy bien,4
Alejandro Ramos,Es muy difícil encontrar un lugar bueno para comer y pues éste es uno más,1
2bicho,Regular atención,1
Jose gpe Salgado alba (caribeeanclub),Las mojarras al mojo de ajo.. Riquísimas.,4
Lina Anahí Silva Solís,Bien servidos,4
a. Corman,"Esta barato, la comida es rica y muy bien servida, además los meseros son muy amables",4
Miguel Estrada,Un poco caro y servicio es bueno y alimentos igual,2
Edgar Reyes,"Muy rico los mariscos, la piña rellena muy buena y la cerveza con mariscos igual",3
Navith Zamara,"Súper bien, buen trato y muy rico",4
Baby Onego,Tardan mucho. Pero tienen buen sabor.,2
Oliver Ortega,Riquisimo,4
KAORU LAN,Todo el menú es recomendable es muy rico todo y fresco,4
L & C,Cinco estrellas,4
Diblik Vaz,Excelente lugar,4
Silvia Gutierrez,Muy rico y el ambiente totalmente familiar,4
Mauricio Sánchez cruz,Excelente servicio!!,4
Humberto Sanchez Roque,"Muy buen ambiente, excelente sérvicio y muy buenos precios",4
La Tele subliminal del tal chinaski,Rico y limpio,4
Armando Moreno,Me encantó la comida atienden bien es ya tiene que.ser.grande,3
Liliana Cárdenas,"Rica comida, todo muy fresco y precios justos.",4
Elo Sanchez,"Un lugar muy familiar, con un sazón y atención excelente",3
Jorge Davalos (Jads),Esta rico y precio razonabme.,4
S. Rodriguez,"Amabilidad, servicio, calidad, precio y sabor muy buenos!",4
Barbara Flores,Buena comida,4
Victor David Esteban Perez,Muy delicioso  los platillos,4
David Toledo,Buen servicio,4
werita chapiz,Rico y a exelente precio,4
sergio mishel gonzalez,Buen servicio,3
Arturo Mendoza Troyo,Comida simple,2
Volkar Garou,La comida es buena y las porciones hasta para compartir,3
susa sue,Es muy rica la comida,4
