username,review,calificacion
Jonathan Gonzalez,Como siempre buen servicio y botana de lujo,4
carlos torres,Se come muy rico,4
Jezabel Moguel Osorio,Excelente la comida,4
Rodrigo Reina Liceaga,Muy sabrosa,3
Carlos Moreno Ibarra,La calidad de la comida el servicio y el precio es muy accesible,4
Carlos del Bosque,Excelente comida sus anfitriones muy amables el servicio excelente y las bebidas del uno,4
Blanca Duran,Lugar ameno,4
newton gonzalez,Bohemio buena botana y precio accesible,4
Brenda,La comida muy rica,4
ROBERTO DURAN,Buen lugar para pasa6un rato agradable,3
daniel sandoval,"El restaurante cumple con el concepto bueno, bonito y barato...",4
Alan López,"Muy buena comida y bien ambiente ya sea si quieres ir a comer o tomar unos tragos, la ubicación está un poco escondida pero buena relación precio-calidad",3
frank vera,"Buena comida, pero se acaba temprano",3
Ana Sánchez,"La atención no es tan rápida, tiene buena coherencia entre calidad, cantidad y precio",3
Mario F. Pérez,"Buena comida y tragos a buen precio y lo mejor, ambiente carnicero.",4
Karla Franco,buen sazón,3
J Os,"Rica la comida, agradable pasar el rato y el precopeo antes de ir al antro",2
Edgard Granados godfrey,Un lugar agradable con buena comida a precios accesibles.,3
Angel Arturo Tellez Bernal,Se come riquisimo. 100% * 100% recomendable,4
Lau De la Rose,"Comida y ambiente agradable! Precio promedio, no barato las bebidas!",3
teo aguilar,"No hay estacionamiento. El dueño puso una cubeta bajo varios autos estacionados enfrente, no le importa si eres cliente. Tengan cuidado. Hay mejores lugares con estacionamiento y más baratos",0
Karina Gregorio,"El un lugar es muy ameno, me gusta mucho!",4
Noel Felipe Padro,Muy buen servicio y atención y se come de Maravilla.,3
Erick Gonzalez,Todo excelente!,4
Sixto Hernandez,Comida rica,4
Guillermo Estrada,"El lugar es sencillo pero super bien, tiene un diez en comida y precios.",3
Ricardo Gomez - McCarthy,Tiene muy platillos a buen precio,4
José luis Berriel,Excelente lugar para comer con la familia y los amigos,4
Fidel Alvarado,Buenos sason.,4
LA BM,Excelente comida y si vas a tomar la copa más.,4
Neli Hdz,Todo excelente y puedo llevar a mis peques...,4
Jose Fernando Gomez Echeverria,"Muy buena comida y bebida, a excelente precio",4
César Rodríguez,"Excelente cocina, buen servicio y precios adecuados",4
luis vazquez aldana,"Buen servicio bueno, buenos precios la comida regular.",2
Leonel Torres,Buena comida pero las meseras siempre andan de jeta.,3
Carlos Carro,"Buena comida, buen ambiente, buen trago, algo para personas maduras",3
Paco Lugo Mayorga,Excelente servicio!,4
Alejandra DìazMariscal,"Comida excelente lo que pidas es garantía, atención maravillosa!",4
Karl Rosenkreuz,Buenas botanas.,4
Rodolfo Perez,La comida es muy Rica!,3
Expert Clixsense,Un buen lugar para comida corrida o a la carta básica.,2
Leticia Gómez,Excelente atenció y las comidas ricas y abundantes.,4
BRAULIO ZAPATA,Comida y sevicio excelente,4
alejandro moreno,Se come rico y es muy económico,4
LUIS BOLAÑOS,buena Cantina y toda una tradición para los profesores de la FES,3
Teo Aguilar,Revisen su cuenta. Acostumbran cobrar de más,0
Jaime Trujillo,Me gusta la comida voy seguido!,3
Ana Rosa Figueroa Leon,"Muy buen servicio, precio y comida, con excelente sazón!!!",4
Regina Zapata,"Bonito lugar, buen servicio y deliciosas enchiladas.",4
Israel de Jesús Rodríguez Salgado,Para comer rico y tomar unas copas!!!,2
Edmundo Alejandro Romero Garcia,Buenas bebidas y comida EXCELENTE,3
anarosa figueroa,Magnífica comida y excelentes anfitriones.,4
Rodrigo Garcia,Genial sencillamente,4
Gerardo Alvarado,Excelente,4
Gustavo Alvarado,Comida Rica,4
Rubén Durán S.,"Precios accesibles, buena comida y excelente anfitrión.",3
Sergio Palacios,Buena botana buen servicio.,4
Patricia Hilario,"Buenas botanas, buen servicio",3
Jose Camarillo,Rica comida y precios accesibles,3
David Trejo Soto,Excelente,4
Francisco Cordero,Se come bien .....,3
antonio salmonte,Buenos alimentos servicio regular,2
Carlos Alejandro De La Peña,"Excelente comida, servicio y comida",4
Angel Velazquez,Una cantina tradicional.,4
Juan Martin,"Bueno, bonito y barato!!!",4
Isaac Iriarte,Exelente,4
Silvia González,"Pequeño,sabroso, excelente atención",4
Checo Moon,El servicio de las meseras es malo,3
Omar Mendoza,Me gusto,4
Aristeo Vázquez,Te atienden muy bien,2
YAZMIN HERNANDEZ,Escándalo en horarios muy tardes.,0
Sergio Palacios,"Ambiente familiar, buena atención.",4
Isra Becerril,Gracias,3
Bruno Martínez,Agusto para los amigos.,3
Rubén Romero Ruiz,La mejor comida del rumbo.,4
Jacqueline Camacho,No llegó el conductor,0
Ramón Rea,2 2,2
liz vigil S.,Diversidad de platillos,2
Hanne Van Reusel,"Very authentic place, delicious food and mostly very warm and generous atmosphere.…",4
Luis Carmona Solís,Great place and great experience!!! (Traducción de Google) Gran lugar y gran experiencia !!!,4
Hermur Construcciones,(Traducción de Google) Insalubre (Original) Insalubre,0
Chinese Burn,,1
Cesar Hernandez,,2
Aaron Bermejo Roa,,4
Letizia Capilli,,4
Arturo Villeda,,4
J. Fernando Gómez E.,,4
Pare Carmona,,3
Andrés Espejel,,4
Santiago Vázquez,,3
Jorge González,,4
Abner Baltazar Meza Ramos,,4
JUAN P,,4
Juan Santos Cruz,,4
Alberto Oliden,,3
Oscar Zarate,,2
David Nava,,4
Juan Rivera,,4
Alfonso Maya,,3
Fernando Hernández Tovar,,2
Em Bor,,0
Julio Nieto,,4
Gonzalo Santiesteban Franco,,3
Paco BerrySark,,4
BERTHA FRANCO,,4
Alejandro Delgado,,4
Aurora Mendez Martínez,,3
tere islas,,4
eduardo Lex,,1
Jafet Yair R.G.,,3
Amado Rios,,4
Pablo Hernandez,,4
Omar Tellez,,3
Javier Magaña,,2
Javier Quintana,,4
Alejandra Menchaca,,4
Samuel Sanchez,,4
Luis PS,,4
Ana Albarrán,,3
Salvador Rocha,,0
Samael Guzmán (‫سامال جوزمان‬‎),,3
Rosa Amelia Salazar Gaspar,,2
Noe Monzon Millan,,2
vasti bethsabe garcia cruz,,4
Antonio Godinez,,4
Jorge Duran,,4
Alfonso S,,3
Atahualpa Moreno,,4
Renato Francis,,4
Jose Mendez,,2
Rafael Hernández,,4
Carlos Torres,,4
alfonso bravo,,4
Martha Embriz 1234,,4
FRANCISCO JAVIER ORDOÑEZ RUIZ,,4
Javier Gonzalez,,4
Diana Alejandra Velazco Dominguez,,4
Alexis Carrasco,,3
Juan Carlos Camacho Mejía,,4
Isabel Tovar,,4
BLANCA LÁZARO (BERNY),,4
Fernanda Baxin,,4
bruno landeros,,4
Lourde Ruiz,,4
alberto REBOLLAR,,4
Jose Luis Ramirez,,3
magch1,,4
mustangjlogt500,,3
Luciano Tellez,,3
Monserrat Alvarez,,3
Francisco Familiar,,1
Carlos Victorica,,3
MEXBOG GROUP,,4
Marco Regato,,4
Israel,,4
Manuel Omar Páez Sosa,,3
agustin vargas,,3
Martin Coello,,3
