username,review,calificacion
Hank,Sin comentarios .,0
Yozeliin Gutierrez,Rico,2
Julio Mendez,Están mejor las de la lecaroz,0
Miguel Angel Ramirez Garcia,También tiene comida casera,3
Salsita Habanera,,0
OCTAVIO QUINTERO,,4
Elvira Vazquez,,4
Laura Rocío Velasco Luna,,4
Tania LG,,4
dante perez,,3
Luisa Pastén,,3
Alma de Malerva,,4
david aguilar,,4
Manuel Flores,,2
Jonathan Valencia,,3
O'Brien Larregui,,2
Ademir Rivas,,3
Alejandro Bobadilla,,4
victor lopez,,4
Miguel Castro,,4
Leticia Guerrero Zavala,,4
Luis Arellano,,4
Rossy emily,,4
Maria Rosa Barranco Izquierdo,,4
juan manuel reyna,,3
Jatziri Beltran Neyra,,4
Adolfo Aranda,,4
Alfredo Isidro,,3
César Francisco Melchor Ramirez,,4
Alejandro Ruiz,,4
Leticia Rojas,,4
Miguel Angel V,,3
Erandi Espíndola,,4
Adolfo Ramirez,,4
Elder Martínez,,3
Abigail Gonzvar,,4
Miguel Angel,,0
America Hortencia Muro RuiZ,,1
Cessar Hurtado,,4
Silvia Aguilera,,3
andy cubides,,4
Braulio Cuellar,,3
miguel lima,,4
Israel Gallardo,,4
Luis Enrique Luna García,,4
Romina Lara,,2
Acadialife Diamante,,4
Alexandra Hidalgo,,3
Candelaria Sanchez Ceron,,2
Fernando Daniel Fuentes Ríos,,4
Abel Saldaña,,4
Ara Garcia,,3
Victoria Roque,,4
Harim Garcia,,4
Ruiz Martínez Angélica Mirari,,4
Andrés Rodríguez,,3
Ditzia Osornio,,4
justino salas,,4
Bruce Wayne,,3
Juan Carlos Gusman,,4
Marco Antonio Zárate,,4
Alejandro Valdes Govea,,4
Dulce,,4
Valeria Velázquez,,4
Ricardo Olay Olay,,2
Monica Sotelo,,4
Vicente Muñoz,,4
Dinosaurio36 Set,,4
David Gomez,,2
jorge sinhue moya marin,,4
Mauricio Romero,,2
Fernando Millán,,4
Claudia Salinas,,3
David Ruiz,,4
Alan Espinosa,,3
Pablo Salinas Hernandez,,4
CARLOS ALEJANDRO FLORES,,4
Aixel Castillo,,2
Mr. VegHa,,4
Alejandra Caloca,,4
Socorro Basulto,,4
Ale Marín,,4
Andres Acosta Medina,,4
