username,review,calificacion
Juan Carlos Pantoja Robles,"El lugar es algo pequeño, por lo que generalmente tienes que hacer fila. Sin embargo el servicio es muy rápido y pasas en menos de 30 min. La comida es muy rica y está muy bien adaptado a la nueva normalidad. Es algo caro, sin embargo vale la pena.",4
Mich Blanco,Demasiadas personas en un lugar pequeño. Tardan mucho en atenderte. Haces fila.,2
ingrid nieto cortes,Todo muy rico!!,4
Jennifer Morales,Muy buen servicio. Excelente protocolo sanitario y buena disposición del personal. Los cortes son ricos y constantemente se acercan a preguntar si requieres algo. Excelente atención y buena comida... muy recomendable.,4
Lolis,"Me gustaba mucho este lugar, pero el día viernes 17 de septiembre fui con mis hermanas, y se me hizo un abuso el cobró.... Las botellas que te venden ni si quieran traen marca y te las dan carísimas.... En verdad que me agradaba ir, pero con esto que paso el viernes, quedamos muy decepcionados",1
toño cano mendez,"Ricos cortes, aunque algo pequeño el lugar",2
usuramy tokura,Excelente comida,4
Claudia Leytte,"Excelente servicio, delicioso y limpio. Sus espadas son muy sabrosas. Los postres y bebidas muy exquisitas. Ambiente agradable.",3
VandLoken,"La atención y el servicio bien al igual que la comida pero hay que llegar antes porque se amontona mucho la gente en fin de semana, y no recomendable ir en domingo a menos que sea con anticipación.",2
Rafael Wilman Mendez,Excelente lugar la comida muy rica solo que tardan un poquito en darte los platillos pero buen servicio,3
Beka JG,"Nada recomendable, se tardan las horas en pasar los carritos, les hablas y no van ,todos se hacen ojo de hormiga ah pero eso si te exigen el 16 porciento de propina .…",1
JOSELO LUIS,"Unos meseros muy déspotas, la picaña, te la ofrecen al final, ya que quedaste satisfecho.",0
Annie Luu,Todo está delicioso y brindan un excelente servicio. El personal es de lo más amable y te ayudan a hacer tu estancia muy amena.,4
Irvin Gomez,"Cocción excelente, bebidas muy buenas",4
Omar Otoniel Soto,"Muy bien lugar para degustar diversos tipos de carnes, acompañadas de una muy buena variedad de ensaladas. Muy buen servicio por parte del personal del lugar. A pesar de la situación actual, se han adaptado muy bien.",3
Alma Sandoval,Excelente servicio. Los meseros muy atentos. La carne excelente.,4
Adriana Sanchez,"Mala atención , muy pocos cortes",1
Mireya Ramírez,"Buen servicio, buena higiene, cortes de carne súper ricos, muy recomendable ",3
RAUL GARCIA,"Un sitio riquísimo para todos los amantes de la carne, la barra de ensaladas está de 10, la picanha deliciosa, el buffet es económico, las bebidas no tanto. El carajillo está súper bueno, no te vayas sin probarlo. Su nueva locación está…",4
Aldo RIVERA,"El lugar me gustó, la barra de ensalada muy bien, áreas de oportunidad el baño, y que los meseros estén más al pendiente del comensal",2
R,"Aunque tienen buenos platillos en relación al precio q no es caro. No sé porque ésta última vez no me gustó mucho. No sentí variedad en las espadas, sin embargo en la barra de ensaladas, sopas y postres sí.",3
